method,ks_stat,ks_pval,logp
Base,0.35941438574156587,0.0023648861080059185,2.626189769875681
PCA_5,0.4148949713558243,0.00023907767178079316,3.621460982124275
PCA_10,0.3303573896459272,0.010491137262332247,1.9791774307784045
PCA_20,0.43225190839694655,0.0001583775356861847,3.8003064188286144
VAE_64_5,0.34115849777211965,0.004642573095408403,2.3332412497459387
VAE_128_5,0.48850641099688114,2.7096539248989218e-05,4.567086173370733
VAE_256_5,0.3950381679389313,0.0007797787162128236,3.1080286229021645
VAE_64_10,0.35591603053435117,0.0034936521462704774,2.456720338756597
VAE_128_10,0.3552798982188295,0.003574728072952723,2.446756989081853
VAE_256_10,0.3994910941475827,0.0006500407748016997,3.187059400717178
VAE_64_20,0.35158517371956105,0.005202980030983947,2.283747840921208
VAE_128_20,0.33265153818513504,0.009743874541137917,2.011268316505358
VAE_256_20,0.4421319796954315,0.0004935434604970007,3.3066745981656296
